objectid,filename,display_template,object_location,image_small,image_thumb,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
geneseenews_1898,geneseenews_1898.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1898.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1898_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1898_sm.jpg,The Genesee News - 1898,,1898,"2/4 first page only, 2/11 first page only, 2/18 first page only, 2/25 - 7/29 missing",,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1898speced,geneseenews_1898speced.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1898speced.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1898speced_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1898speced_sm.jpg,The Genesee News - 1898 Special Edition,,1898,,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1899,geneseenews_1899.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1899.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1899_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1899_sm.jpg,The Genesee News - 1899,,1899,5/19; 6/23; 8/4; 10/27,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1900,geneseenews_1900.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1900.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1900_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1900_sm.jpg,The Genesee News - 1900,,1900,"1/26; 2/23; 5/18, 7/27- last page and part of front page, 8/3- first two pages missing; 8/31",,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1901,geneseenews_1901.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1901.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1901_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1901_sm.jpg,The Genesee News - 1901,,1901,"2/22; 4/12; 5/3; 6/28;8/23 to 8/30, 10/4; 11/8; 12/6; 12/20 to 12/27",,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1902,geneseenews_1902.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1902.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1902_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1902_sm.jpg,The Genesee News - 1902,,1902,4/11; 4/25; 7/25;,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1903,geneseenews_1903.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1903.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1903_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1903_sm.jpg,The Genesee News - 1903,,1903,3/13; 7/24; 8/21; 9/4;,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1904,geneseenews_1904.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1904.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1904_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1904_sm.jpg,The Genesee News - 1904,,1904,1/29;,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1905,geneseenews_1905.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1905.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1905_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1905_sm.jpg,The Genesee News - 1905,,1905,2/24; 6/30; 8/25; 9/1; 11/17 all have cut articles,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1906,geneseenews_1906.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1906.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1906_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1906_sm.jpg,The Genesee News - 1906,,1906,7/20 (parts of page); 7/27,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1907,geneseenews_1907.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1907.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1907_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1907_sm.jpg,The Genesee News - 1907,,1907,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1908halfyear,geneseenews_1908halfyear.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1908halfyear.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1908halfyear_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1908halfyear_sm.jpg,The Genesee News - 1908 (Half Year),,1908,7/17 to 12/25,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1909halfyear,geneseenews_1909halfyear.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1909halfyear.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1909halfyear_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1909halfyear_sm.jpg,The Genesee News - 1909 (Half Year),,1909,1/1 to 7/16,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1910,geneseenews_1910.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1910.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1910_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1910_sm.jpg,The Genesee News - 1910,,1910,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1911,geneseenews_1911.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1911.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1911_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1911_sm.jpg,The Genesee News - 1911,,1911,"7/14, pieces missing",,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1912,geneseenews_1912.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1912.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1912_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1912_sm.jpg,The Genesee News - 1912,,1912,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1913,geneseenews_1913.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1913.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1913_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1913_sm.jpg,The Genesee News - 1913,,1913,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1914,geneseenews_1914.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1914.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1914_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1914_sm.jpg,The Genesee News - 1914,,1914,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1915,geneseenews_1915.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1915.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1915_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1915_sm.jpg,The Genesee News - 1915,,1915,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1916,geneseenews_1916.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1916.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1916_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1916_sm.jpg,The Genesee News - 1916,,1916,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1917,geneseenews_1917.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1917.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1917_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1917_sm.jpg,The Genesee News - 1917,,1917,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1918,geneseenews_1918.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1918.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1918_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1918_sm.jpg,The Genesee News - 1918,,1918,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1919,geneseenews_1919.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1919.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1919_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1919_sm.jpg,The Genesee News - 1919,,1919,7/25 8/8,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1920,geneseenews_1920.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1920.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1920_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1920_sm.jpg,The Genesee News - 1920,,1920,7/7 to 7/21,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1921,geneseenews_1921.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1921.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1921_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1921_sm.jpg,The Genesee News - 1921,,1921,4/1 to 4/15; 7/1; 7/15 to 7/22,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1922,geneseenews_1922.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1922.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1922_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1922_sm.jpg,The Genesee News - 1922,,1922,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1923,geneseenews_1923.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1923.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1923_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1923_sm.jpg,The Genesee News - 1923,,1923,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1924,geneseenews_1924.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1924.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1924_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1924_sm.jpg,The Genesee News - 1924,,1924,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1925,geneseenews_1925.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1925.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1925_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1925_sm.jpg,The Genesee News - 1925,,1925,1/9; 7/10 to 7/17; 7/31 to 8/7,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1926i,geneseenews_1926i.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1926i.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1926i_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1926i_sm.jpg,The Genesee News - 1926,,1926,1/29 1st & last pages missing,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1927,geneseenews_1927.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1927.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1927_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1927_sm.jpg,The Genesee News - 1927,,1927,10/21; front page missing,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1928,geneseenews_1928.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1928.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1928_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1928_sm.jpg,The Genesee News - 1928,,1928,7/6;,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1929,geneseenews_1929.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1929.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1929_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1929_sm.jpg,The Genesee News - 1929,,1929,5/24; 7/12;,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1930,geneseenews_1930.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1930.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1930_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1930_sm.jpg,The Genesee News - 1930,,1930,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1931,geneseenews_1931.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1931.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1931_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1931_sm.jpg,The Genesee News - 1931,,1931,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1932i,geneseenews_1932i.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1932i.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1932i_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1932i_sm.jpg,The Genesee News - 1932,,1932,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1933,geneseenews_1933.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1933.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1933_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1933_sm.jpg,The Genesee News - 1933,,1933,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1934,geneseenews_1934.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1934.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1934_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1934_sm.jpg,The Genesee News - 1934,,1934,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1935,geneseenews_1935.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1935.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1935_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1935_sm.jpg,The Genesee News - 1935,,1935,7/26,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1936,geneseenews_1936.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1936.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1936_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1936_sm.jpg,The Genesee News - 1936,,1936,9/25,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
geneseenews_1937,geneseenews_1937.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1937.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1937_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1937_sm.jpg,The Genesee News - 1937,,1937,5/14,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,"No Known Copyright - The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.",http://rightsstatements.org/vocab/NKC/1.0/
