objectid,filename,display_template,object_location,image_small,image_thumb,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
geneseenews_1888,geneseenews_1888.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1888.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1888_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1888_sm.jpg,The Genesee Advertiser - 1888,,1888,8/4 to 8/18; 9/22; 10/13 to 10/27,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1889,geneseenews_1889.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1889.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1889_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1889_sm.jpg,The Genesee Advertiser - 1889,,1889,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1890,geneseenews_1890.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1890.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1890_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1890_sm.jpg,The Genesee Advertiser - 1890,,1890,8/21 to end of year. Also missing in Wise paper,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1891,geneseenews_1891.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1891.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1891_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1891_sm.jpg,The Recorder - 1891,,1891,1/1 to 5/7. Also missing in Wise paper,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1892,geneseenews_1892.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1892.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1892_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1892_sm.jpg,The Recorder - 1892,,1892,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1893,geneseenews_1893.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1893.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1893_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1893_sm.jpg,The Genesee News - 1893,,1893,5/12 (parts of pages missing),,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1894,geneseenews_1894.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1894.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1894_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1894_sm.jpg,The Genesee News - 1894,,1894,"5/11 (parts of pages missing), 5/18 (parts of pages missing), 7/6 (front page missing)",,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1895,geneseenews_1895.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1895.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1895_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1895_sm.jpg,The Genesee News - 1895,,1895,8/2 (last page); 8/9,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1896,geneseenews_1896.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1896.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1896_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1896_sm.jpg,The Genesee News - 1896,,1896,none,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
geneseenews_1897,geneseenews_1897.pdf,pdf,https://objects.lib.uidaho.edu/genesee-news/geneseenews_1897.pdf,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1897_sm.jpg,https://objects.lib.uidaho.edu/genesee-news/small/geneseenews_1897_sm.jpg,The Genesee News - 1897,,1897,5/7 back page,,"Genesee, ID",46.55110282,-116.9290381,Earl Bennett,,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
